# source_id	kind	status	crystal_refs	notes
clipboard.go::func::ReadClipboard	func	ported	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::func::ReadPrimaryClipboard	func	ported	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::func::SetClipboard	func	ported	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::func::SetPrimaryClipboard	func	ported	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::method::ClipboardMsg.Clipboard	method	ported	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::method::ClipboardMsg.String	method	ported	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::struct::ClipboardMsg	struct	ported	src/tea/clipboard.cr	OSC52 clipboard operations
color.go::func::RequestBackgroundColor	func	ported	src/tea/messages.cr	Color query/response messages
color.go::func::RequestCursorColor	func	ported	src/tea/messages.cr	Color query/response messages
color.go::func::RequestForegroundColor	func	ported	src/tea/messages.cr	Color query/response messages
color.go::method::BackgroundColorMsg.IsDark	method	ported	src/tea/messages.cr	Color query/response messages
color.go::method::BackgroundColorMsg.String	method	ported	src/tea/messages.cr	Color query/response messages
color.go::method::CursorColorMsg.IsDark	method	ported	src/tea/messages.cr	Color query/response messages
color.go::method::CursorColorMsg.String	method	ported	src/tea/messages.cr	Color query/response messages
color.go::method::ForegroundColorMsg.IsDark	method	ported	src/tea/messages.cr	Color query/response messages
color.go::method::ForegroundColorMsg.String	method	ported	src/tea/messages.cr	Color query/response messages
color.go::struct::BackgroundColorMsg	struct	ported	src/tea/messages.cr	Color query/response messages
color.go::struct::CursorColorMsg	struct	ported	src/tea/messages.cr	Color query/response messages
color.go::struct::ForegroundColorMsg	struct	ported	src/tea/messages.cr	Color query/response messages
commands.go::func::Batch	func	ported	src/tea/commands.cr	Command helpers and timers
commands.go::func::Every	func	ported	src/tea/commands.cr	Command helpers and timers
commands.go::func::RequestWindowSize	func	ported	src/tea/commands.cr	Command helpers and timers
commands.go::func::Sequence	func	ported	src/tea/commands.cr	Command helpers and timers
commands.go::func::Tick	func	ported	src/tea/commands.cr	Command helpers and timers
commands.go::type::BatchMsg	type	ported	src/tea/commands.cr	Command helpers and timers
commands_test.go::test::TestBatch	test	missing	-	Go test port not yet started
commands_test.go::test::TestEvery	test	missing	-	Go test port not yet started
commands_test.go::test::TestSequence	test	missing	-	Go test port not yet started
commands_test.go::test::TestTick	test	missing	-	Go test port not yet started
cursor.go::const::CursorBar	const	ported	src/tea.cr	Cursor and view helpers in tea.cr
