# source_api_id	status	crystal_refs	notes
clipboard.go::func::ReadClipboard	mapped	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::func::ReadPrimaryClipboard	mapped	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::func::SetClipboard	mapped	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::func::SetPrimaryClipboard	mapped	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::method::ClipboardMsg.Clipboard	mapped	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::method::ClipboardMsg.String	mapped	src/tea/clipboard.cr	OSC52 clipboard operations
clipboard.go::struct::ClipboardMsg	mapped	src/tea/clipboard.cr	OSC52 clipboard operations
color.go::func::RequestBackgroundColor	mapped	src/tea/messages.cr	Color query/response messages
color.go::func::RequestCursorColor	mapped	src/tea/messages.cr	Color query/response messages
color.go::func::RequestForegroundColor	mapped	src/tea/messages.cr	Color query/response messages
color.go::method::BackgroundColorMsg.IsDark	mapped	src/tea/messages.cr	Color query/response messages
color.go::method::BackgroundColorMsg.String	mapped	src/tea/messages.cr	Color query/response messages
color.go::method::CursorColorMsg.IsDark	mapped	src/tea/messages.cr	Color query/response messages
color.go::method::CursorColorMsg.String	mapped	src/tea/messages.cr	Color query/response messages
color.go::method::ForegroundColorMsg.IsDark	mapped	src/tea/messages.cr	Color query/response messages
color.go::method::ForegroundColorMsg.String	mapped	src/tea/messages.cr	Color query/response messages
color.go::struct::BackgroundColorMsg	mapped	src/tea/messages.cr	Color query/response messages
color.go::struct::CursorColorMsg	mapped	src/tea/messages.cr	Color query/response messages
color.go::struct::ForegroundColorMsg	mapped	src/tea/messages.cr	Color query/response messages
commands.go::func::Batch	mapped	src/tea/commands.cr	Command helpers and timers
commands.go::func::Every	mapped	src/tea/commands.cr	Command helpers and timers
commands.go::func::RequestWindowSize	mapped	src/tea/commands.cr	Command helpers and timers
commands.go::func::Sequence	mapped	src/tea/commands.cr	Command helpers and timers
commands.go::func::Tick	mapped	src/tea/commands.cr	Command helpers and timers
commands.go::type::BatchMsg	mapped	src/tea/commands.cr	Command helpers and timers
cursor.go::const::CursorBar	mapped	src/tea.cr	Cursor and view helpers in tea.cr
cursor.go::const::CursorBlock	mapped	src/tea.cr	Cursor and view helpers in tea.cr
cursor.go::const::CursorUnderline	mapped	src/tea.cr	Cursor and view helpers in tea.cr
cursor.go::func::RequestCursorPosition	mapped	src/tea.cr	Cursor and view helpers in tea.cr
cursor.go::struct::CursorPositionMsg	mapped	src/tea.cr	Cursor and view helpers in tea.cr
cursor.go::struct::Position	mapped	src/tea.cr	Cursor and view helpers in tea.cr
cursor.go::type::CursorShape	mapped	src/tea.cr	Cursor and view helpers in tea.cr
environ.go::method::EnvMsg.Getenv	mapped	src/tea.cr	Environment message in tea.cr
environ.go::method::EnvMsg.LookupEnv	mapped	src/tea.cr	Environment message in tea.cr
environ.go::type::EnvMsg	mapped	src/tea.cr	Environment message in tea.cr
examples/altscreen-toggle/main.go::method::model.Init	missing	-	Example not yet ported
examples/altscreen-toggle/main.go::method::model.Update	missing	-	Example not yet ported
examples/altscreen-toggle/main.go::method::model.View	missing	-	Example not yet ported
examples/autocomplete/main.go::method::keymap.FullHelp	missing	-	Example not yet ported
examples/autocomplete/main.go::method::keymap.ShortHelp	missing	-	Example not yet ported
examples/autocomplete/main.go::method::model.Cursor	missing	-	Example not yet ported
examples/autocomplete/main.go::method::model.Init	missing	-	Example not yet ported
examples/autocomplete/main.go::method::model.Update	missing	-	Example not yet ported
examples/autocomplete/main.go::method::model.View	missing	-	Example not yet ported
examples/canvas/main.go::method::model.Init	missing	-	Example not yet ported
examples/canvas/main.go::method::model.Update	missing	-	Example not yet ported
examples/canvas/main.go::method::model.View	missing	-	Example not yet ported
examples/capability/main.go::method::model.Init	missing	-	Example not yet ported
examples/capability/main.go::method::model.Update	missing	-	Example not yet ported
examples/capability/main.go::method::model.View	missing	-	Example not yet ported
examples/cellbuffer/main.go::method::cellbuffer.String	missing	-	Example not yet ported
examples/cellbuffer/main.go::method::model.Init	missing	-	Example not yet ported
examples/cellbuffer/main.go::method::model.Update	missing	-	Example not yet ported
examples/cellbuffer/main.go::method::model.View	missing	-	Example not yet ported
examples/chat/main.go::method::model.Init	missing	-	Example not yet ported
examples/chat/main.go::method::model.Update	missing	-	Example not yet ported
examples/chat/main.go::method::model.View	missing	-	Example not yet ported
examples/clickable/main.go::method::model.Init	missing	-	Example not yet ported
examples/clickable/main.go::method::model.Update	missing	-	Example not yet ported
examples/clickable/main.go::method::model.View	missing	-	Example not yet ported
examples/clickable/main.go::struct::LayerHitMsg	missing	-	Example not yet ported
examples/colorprofile/main.go::method::model.Init	missing	-	Example not yet ported
examples/colorprofile/main.go::method::model.Update	missing	-	Example not yet ported
examples/colorprofile/main.go::method::model.View	missing	-	Example not yet ported
examples/composable-views/main.go::method::mainModel.Init	missing	-	Example not yet ported
examples/composable-views/main.go::method::mainModel.Next	missing	-	Example not yet ported
examples/composable-views/main.go::method::mainModel.Update	missing	-	Example not yet ported
examples/composable-views/main.go::method::mainModel.View	missing	-	Example not yet ported
examples/cursor-style/main.go::method::model.Init	missing	-	Example not yet ported
examples/cursor-style/main.go::method::model.Update	missing	-	Example not yet ported
examples/cursor-style/main.go::method::model.View	missing	-	Example not yet ported
examples/debounce/main.go::method::model.Init	missing	-	Example not yet ported
examples/debounce/main.go::method::model.Update	missing	-	Example not yet ported
examples/debounce/main.go::method::model.View	missing	-	Example not yet ported
examples/doom-fire/main.go::method::model.Init	missing	-	Example not yet ported
examples/doom-fire/main.go::method::model.Update	missing	-	Example not yet ported
examples/doom-fire/main.go::method::model.View	missing	-	Example not yet ported
examples/dynamic-textarea/main.go::method::model.Init	missing	-	v2.0.6: new example, not yet ported
examples/dynamic-textarea/main.go::method::model.Update	missing	-	v2.0.6: new example, not yet ported
examples/dynamic-textarea/main.go::method::model.View	missing	-	v2.0.6: new example, not yet ported
examples/exec/main.go::method::model.Init	missing	-	Example not yet ported
examples/exec/main.go::method::model.Update	missing	-	Example not yet ported
examples/exec/main.go::method::model.View	missing	-	Example not yet ported
examples/eyes/main.go::method::model.Init	missing	-	Example not yet ported
examples/eyes/main.go::method::model.Update	missing	-	Example not yet ported
examples/eyes/main.go::method::model.View	missing	-	Example not yet ported
examples/file-picker/main.go::method::model.Init	missing	-	Example not yet ported
examples/file-picker/main.go::method::model.Update	missing	-	Example not yet ported
